role,name,team
student,mohamedsaf1,CS2103T-T11-1
student,jasonchristopher21,CS2103T-T11-1
student,kangqiao322,CS2103T-T11-2
student,jetlfj,CS2103T-T11-2
student,chantellyu,CS2103T-T11-2
student,johnrhimawan,CS2103T-T11-2
student,bigcrushes,CS2103T-T11-2
student,rycs2812,CS2103T-T11-3
student,neosunhan,CS2103T-T11-3
student,laxus2308,CS2103T-T11-3
student,rachaelsng,CS2103T-T11-3
student,fongyj,CS2103T-T11-3
student,ElijahS67,CS2103T-T11-4
student,chm252,CS2103T-T11-4
student,jonasgwt,CS2103T-T11-4
student,carriezhengjr,CS2103T-T11-4
student,sltsheryl,CS2103T-T11-4
student,RezwanArefin01,CS2103T-T12-1
student,Bubbl3T,CS2103T-T12-1
student,Berted,CS2103T-T12-1
student,optionalemon,CS2103T-T12-1
student,njxue,CS2103T-T12-1
student,jasonqiu212,CS2103T-T12-2
student,santosh3007,CS2103T-T12-2
student,ShenyiCui,CS2103T-T12-2
student,peppapighs,CS2103T-T12-2
student,yunruu,CS2103T-T12-2
student,ssyap98,CS2103T-T12-3
student,bokun2,CS2103T-T12-3
student,ZhengLong3,CS2103T-T12-3
student,o-ohst,CS2103T-T12-3
student,ngquyduc,CS2103T-T12-3
student,Ramanathan0908,CS2103T-T12-4
student,shogun187,CS2103T-T12-4
student,BlopApple,CS2103T-T12-4
student,rama-pang,CS2103T-T12-4
student,izzahaj,CS2103T-T12-4
student,yeojunjie,CS2103T-T13-1
student,gunbux,CS2103T-T13-1
student,limweijun,CS2103T-T13-1
student,LuYiting0913,CS2103T-T13-1
student,tensaida,CS2103T-T13-1
student,weiquany,CS2103T-T13-2
student,malwaregarry,CS2103T-T13-2
student,Polygonalr,CS2103T-T13-2
student,craeyeons,CS2103T-T13-2
student,kelvinou01,CS2103T-T13-2
student,josephaedan,CS2103T-T13-3
student,emptygx,CS2103T-T13-3
student,ytingtan,CS2103T-T13-3
student,agarwal-anjali,CS2103T-T13-3
student,pratham31012002,CS2103T-T13-3
student,dexter-sim,CS2103T-T13-4
student,seetohjinwei,CS2103T-T13-4
student,bananamonkey4655,CS2103T-T13-4
student,Nephelite,CS2103T-T13-4
student,xiaobill8,CS2103T-T13-4
student,leeianee,CS2103T-T14-1
student,Puakii,CS2103T-T14-1
student,nerbnerb,CS2103T-T14-1
student,desmondyst,CS2103T-T14-1
student,Marcusgwj,CS2103T-T14-1
student,JonLamy,CS2103T-T14-2
student,danzzzerl,CS2103T-T14-2
student,songivan00,CS2103T-T14-2
student,angkl0,CS2103T-T14-2
student,parnikkapore,CS2103T-T14-2
student,marclzh,CS2103T-T14-3
student,LJXSean,CS2103T-T14-3
student,anthonyhoth,CS2103T-T14-3
student,EiffelLKF,CS2103T-T14-3
student,hanwenlai,CS2103T-T14-3
student,linuschui,CS2103T-T14-4
student,SilasTSL,CS2103T-T14-4
student,shamooose,CS2103T-T14-4
student,rjkoh,CS2103T-T14-4
student,leehuiyulaura,CS2103T-T14-4
student,Kok-je,CS2103T-T15-1
student,kevinchangjk,CS2103T-T15-1
student,chao890,CS2103T-T15-1
student,prit3010,CS2103T-T15-1
student,ngshijun,CS2103T-T15-1
student,jeromepui,CS2103T-T15-2
student,linuschancs,CS2103T-T15-2
student,danielk0k,CS2103T-T15-2
student,maxtance,CS2103T-T15-2
student,minjiunn,CS2103T-T15-2
student,leirdas,CS2103T-T15-3
student,jia-han,CS2103T-T15-3
student,marcuslowhuiyu,CS2103T-T15-3
student,fannyjian,CS2103T-T15-3
student,t1mzzz,CS2103T-T15-3
student,kavantan,CS2103T-T15-4
student,24Donovan24,CS2103T-T15-4
student,ee-suan,CS2103T-T15-4
student,ErvinK123,CS2103T-T15-4
student,stevenlimhw,CS2103T-T15-4
student,guowei42,CS2103T-T17-1
student,KJunWei,CS2103T-T17-1
student,yellow-294,CS2103T-T17-1
student,cxyterence,CS2103T-T17-1
student,vantemoon,CS2103T-T17-1
student,TanPingZhi,CS2103T-T17-2
student,xav168,CS2103T-T17-2
student,ruiqi7,CS2103T-T17-2
student,nicolelim02,CS2103T-T17-2
student,AkkFiros,CS2103T-T17-2
student,sheshenk,CS2103T-T17-3
student,KSHan29,CS2103T-T17-3
student,ShawnChew,CS2103T-T17-3
student,ichigh0st,CS2103T-T17-3
student,lesterong,CS2103T-T17-3
student,guanzhou03,CS2103T-T17-4
student,pwjj2000,CS2103T-T17-4
student,JovonLim,CS2103T-T17-4
student,NicholasTYD,CS2103T-T17-4
student,WingKei67,CS2103T-T17-4
student,SpecOps2016,CS2103T-W08-1
student,guokweijie,CS2103T-W08-1
student,TZL0,CS2103T-W08-1
student,wadia82,CS2103T-W08-1
student,Fuzanwenn,CS2103T-W08-1
student,arnav-ag,CS2103T-W08-2
student,wrewsama,CS2103T-W08-2
student,Vshnv2001,CS2103T-W08-2
student,Tex-Tang,CS2103T-W08-2
student,sh4nH,CS2103T-W08-2
student,Jonaspng,CS2103T-W08-3
student,JJoeYi,CS2103T-W08-3
student,GarethOng,CS2103T-W08-3
student,normkoh,CS2103T-W08-3
student,nitant-p,CS2103T-W08-3
student,dreammac3816547290,CS2103T-W08-4
